Title,Platform,Userscore,Comment
The Legend of Zelda: Breath of the Wild,WiiU,10,"Capolavoro assoluto , questo titolo è da 30 anni che ci ha abituato a questi capolavori ... Sicuramente il gioco del decennio e la cosa incredibile che gira sulle console Nintendo , non certo famose per la potenza. Nintendo fa scuola come sempre , non serve una super potenza per fare capolavori"
The Legend of Zelda: Breath of the Wild,WiiU,9,"If you are debating about getting this game you have too. This was the first Zelda game i've ever played in my life. From the first hour of playing it I knew that it would be one of my favorites. The music is one of my favorite parts. It always feels like the music kicks in right when you need it. I also enjoy the freedom and allowing you to choose your destination. The problem about thisIf you are debating about getting this game you have too. This was the first Zelda game i've ever played in my life. From the first hour of playing it I knew that it would be one of my favorites. The music is one of my favorite parts. It always feels like the music kicks in right when you need it. I also enjoy the freedom and allowing you to choose your destination. The problem about this is you can be up againts very tough enemies without the weapons you will need to kill them. Also the shrines are probably my least favorite part about this game. They seem like someone just spent very little time on them and the also seem like a chor to advance you character. Some shrines are also very tough for beginers like me. The combat is good once you learn how to use it. In the begining i was often losing to enemies worse them me, but after a few tip videos I was getting pretty good at it."
The Legend of Zelda: Breath of the Wild,WiiU,10,"Beautiful, expansive and excellent design and gameplay. Zelda: Breath of the Wild is incredible. All I want to do is play it all day. The Nintendo developers are masters of their craft.Don't listen to the negative reviews. They are just sad PlayStation fanatics as usual."
Xenoblade Chronicles X,WiiU,10,elel mejorrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr
Xenoblade Chronicles X,WiiU,9,"I'm new JRPG games, my first impressions were very low because I did not have a proper understanding of things. I decided to persevere and I'm glad I have, I've been playing for around 10 hours now and have to say it is EPIC. The graphics are beautiful for a Wii U game, the world is amazing to explore. The combat system is great nothing like I've played before, I recently purchased FalloutI'm new JRPG games, my first impressions were very low because I did not have a proper understanding of things. I decided to persevere and I'm glad I have, I've been playing for around 10 hours now and have to say it is EPIC. The graphics are beautiful for a Wii U game, the world is amazing to explore. The combat system is great nothing like I've played before, I recently purchased Fallout 4 and have to say XENOBLADE is a better game, both are addictive but this is harder to put down."
Rayman Legends,WiiU,10,"It's simple. This is one of the best games on Wii U. This game is really fun. The level design is amazing. The music is amazing. It introduces new ideas perfectly, and there is plenty to do. Challenges, awesome levels, time trials, Back to Origins, replayability, great graphics, perfect touchscreen controls, and more. And the abilities are just too fun. If you don't have this game, go andIt's simple. This is one of the best games on Wii U. This game is really fun. The level design is amazing. The music is amazing. It introduces new ideas perfectly, and there is plenty to do. Challenges, awesome levels, time trials, Back to Origins, replayability, great graphics, perfect touchscreen controls, and more. And the abilities are just too fun. If you don't have this game, go and get it right now."
Splatoon,WiiU,10,One of my all time favorite games. The multiplayer is what really shines here. There is so much variety and fun to be had here. The single player is a nice short distraction. Amazing game.
New Super Mario Bros. U,WiiU,8,"At this point, the series has overstayed its welcome by reusing features from the other New Super Mario Bros. games and downgrading them. But NSMBU is a solid game nonetheless. The levels are quite fun, even though they add nothing new to the table. The new power-up, the Super Acorn, is so fun to use. My biggest problem is that once you play the levels a few times, you won't feel likeAt this point, the series has overstayed its welcome by reusing features from the other New Super Mario Bros. games and downgrading them. But NSMBU is a solid game nonetheless. The levels are quite fun, even though they add nothing new to the table. The new power-up, the Super Acorn, is so fun to use. My biggest problem is that once you play the levels a few times, you won't feel like going back to them. But go ahead and purchase it if you like 2D Mario."
Mario Kart 8,WiiU,7,"This game is overrated within the context of it own series, While Mario Kart 8 is a solid, fun and well designed (for the most part) it has some issues that put it away from ""perfection"". In the core Mario Kart 8 is great, the tracks are well designed and every single one has an unique charm, both visually and technically also you don't feel that the tracks are the same all of them hadThis game is overrated within the context of it own series, While Mario Kart 8 is a solid, fun and well designed (for the most part) it has some issues that put it away from ""perfection"". In the core Mario Kart 8 is great, the tracks are well designed and every single one has an unique charm, both visually and technically also you don't feel that the tracks are the same all of them had ""personality"", their own gimmicks and obstacles making them fun and challenging to play. Other welcome addition new vehicle customization the game, is kind of basic but works well, it suits your play style better and the vehicle classes (Kart ,bike, sport bike and ATV) bring balance to the game and more variety some vehicles like karts are better in straight line tracks while others like the sport bikes do better in sharp curves tracks, picking your vehicle is no longer a ""it looks cool"" fact it's about what vehicle suits you best and it brings more depth in the game. Also Drifting and mini turbo are nearly mandatory in the game, there's no longer an automatic or manual option, fortunately performing a drifting is vey easy unlike Mario kart wii and more responsive, master it to perform the super mini turbo requires a little practice but nothing hard or out of place, while it's possible to play the game without drifting is a game breaker if you decide to not, since all the CPU by default do it, and most of the players also do it because is to simple to execute, so don’t be surprised if you lose most of the time because you are not drifting. So at this point it sounds that Mario Kart 8 is a game that involves pure skill, well yes but also involves luck in the form of items the series had since the beginning you know throwing shells at opponents, using mushrooms to boost, that kind of stuff, unfortunately the very items is the downfall of Mario Kart 8, making it a game more about luck than skill. It's true that in Mario Kart luck comes to place but in past MK games skill was a more important factor sure you can be in 10th place and get cool items like the golden mushroom and bullet bills, but no matter how good the items were they meant little if the guy at 1st place was good at driving, and Mario kart 8 is the complete opposite for the most part, is more about the items you get than how good you are at driving. Let me go more in depth in Past Mario Kart Games, Like Mario Kart Wii for instance there was always called ""item priority"" this means that the lower you are in the place list you'll get better offensive items like a star, 3 red shells, a lighting, etc. and the higher you were you'll get basic offensive items and more defensive items, like a single red shell, bananas, green shells etc. So it worked well giving the guy in 12th place an edge to pass the opponents while giving the guy in fist place basic items to ""shield"" him/herself from the rest. In Mario Kart 8 that is no more, Item priority now is random, except from the guy in first place, so now you van get stars in 3rd place, triple red shells in second, lightning in fourth and even a bullet bill in fifth place, but in 1st place is more common to get the new coin item that a defensive item like a green shell, the coins in the game act like a boost you can collect them in the track or by getting one at the item box, collect 10 of them and you'll gain a little speed boost, the problem is that collecting 10 coins is way to easy and most of the time in 1st place you'll stock up real quick, not to mention that the coin item still appears even if you are max out, this means that the game somehow has the 1st place items prioritized by making coins more common that actual items, so this means that if you manage to get to 1st place there's barley any way to defend yourself from items. So that just throw over the window the whole skill add-ons like customization and drifting, sure there's some skill involved but now the guy that gets the better items wins this is way more notorious if you play online. So follow my strategy, don't ever try to be on first place the whole race always try to be in 3rd or lower that way you'll get all the cool items while the lead player can barely do anything to protect him/herself and when the final lap comes then try to lead the race at the half of the track, is more likely that you'll win this way than by trying to speed up all the time. Also there's no battle mode, well it is but is way to broken, the battles are without a radar in the main tracks, so yeah no battle arenas just tracks, is very uncomfortable to play, you'll spend 99% of the time trying to look for the other players and is just not fun at all. Mario Kart 8 still of its flaws still a good, fun game and you can have a great time with it, but is way to far to be the best Mario kart game."
Pikmin 3,WiiU,10,"I came into pikmin 3 expecting something a little bit easier than the previous titles, and to not be quite as fun. I was wrong. Pikmin 3 is a game where you play as distant explorers on a journey to save their home planet by gathering the massive (To them) fruits that liter the distant planet, known to them as PNF-404(lol 404 error). The ship crashes and the explorers are stranded andI came into pikmin 3 expecting something a little bit easier than the previous titles, and to not be quite as fun. I was wrong. Pikmin 3 is a game where you play as distant explorers on a journey to save their home planet by gathering the massive (To them) fruits that liter the distant planet, known to them as PNF-404(lol 404 error). The ship crashes and the explorers are stranded and separated.Once reunited, they must collect fruit and track down another explorer who has found and taken their missing hyperdrive key (Which they need to get home). Pikmin 3 looks beautiful; textures gleam and reflect the sunlight, Bulborb spots get slightly bigger and smaller as the bulborbs snooze in the open plains, and cave areas are dark and moist. Boss battles, though some are obvious (HEY LOOK YOU MIGHT WANT TO THROW ROCK PIKMIN AT THAT OKAY!!?!?!?!?) others will stump you (I'm looking at YOU, 3rd (Major) boss.) and others are just fun. Enemies can be attacked in certain areas for more damage (Eyes, etc.), and you can command captains to do things using a map. Everyone who plays games should at least try this game, and enjoy its super fun and adorable gameplay, characters, and strategic gameplay."
Mario Kart 8,WiiU,9,"I really enjoyed this game! Now, it does have its issues, but first, what's good about it; the controls are nearly similar to Mario Kart Wii, and while I was worried about this, the underwater/parasail segments from Mario Kart 7 were actually easilly controllable. The visuals? Amazing. It is SO enjoyable playing a Mario Kart game in beautiful HD! The new items were cool, though II really enjoyed this game! Now, it does have its issues, but first, what's good about it; the controls are nearly similar to Mario Kart Wii, and while I was worried about this, the underwater/parasail segments from Mario Kart 7 were actually easilly controllable. The visuals? Amazing. It is SO enjoyable playing a Mario Kart game in beautiful HD! The new items were cool, though I personally find the fireball item a bit useless; maybe it's just me, but unless you have good aim or just get lucky, it's pretty difficult to hit opponents with it. The new levels are just GLORIOUS; Electrodrome is my personal favorite track! I'd also like to mention that the online functionality is WAY more improved from MKWii's; I love the tournament option personally! The anti-gravity is a cool feature, but honestly, though not to this degree, I've seen the concept before in another racing game, Crash Nitro Kart, sideways tires and all!  Now, on to the bad; first and foremost, the battle mode. Everyone's said this already, and my opinion's no exception, but I think it was a bad idea to implement actual racetracks as battle courses instead of arenas. Secondly, when you're first place in a race, you'll usually get coins as items, which can be real frustrating, especially when you're trying to defend yourself. Also, Rainbow Road? Not exactly a challenge, which is considered a nitpick, but c'mon; everyone knows Rainbow Road is the craziest course in any Mario Kart game! So, all-in-all, while I'd like to give this game a 10, personally, those major issues do hold the game back a bit. But regardless, this game is pretty neat, so if you have a Wii U, definitely get it!"
Super Smash Bros. for Wii U,WiiU,9,"I just can't have enough of this game. Huge fighters pool, character customization, a lot of game modes, online battles, incredible local multiplayer. The only reason of the 9 is because i've missed the story mode of the Wii Version."
Super Smash Bros. for Wii U,WiiU,10,"Beautiful Graphics, Smooth gameplay.Being able to customize my mii and get it to fight Link and zelda is just mind blowing.10/10 i'd say if you ask me."
Super Mario Maker,WiiU,9,"Super Mario Maker is a great celebration of the 30th anniversary of Super Mario Bros.. It is a very accessible level creator that, in my view, could appeal to a variety of audiences, whether it be long-time Mario fans or budding game developers. The game also provides many pre-made levels for inspiration, in case you are running low on ideas. I'm not the most creative person out there, yetSuper Mario Maker is a great celebration of the 30th anniversary of Super Mario Bros.. It is a very accessible level creator that, in my view, could appeal to a variety of audiences, whether it be long-time Mario fans or budding game developers. The game also provides many pre-made levels for inspiration, in case you are running low on ideas. I'm not the most creative person out there, yet I have already sunk countless hours into this game making my own 2D Mario levels. Overall, an excellent level-creating game. Some more features would be nice (for example, checkpoints and more level themes), but Super Mario Maker is a game that I highly recommend."
Super Mario 3D World,WiiU,10,"Having owned the Wii U for nearly two years I feel it's safe to say that Super Mario 3D World is my absolute favorite game on the system. Whether its the colorful visuals, the finger snapping soundtrack, or the fun but simple gameplay provided by the Wii U gamepad, there is little but fun Super Mario 3D World can bring on the Wii U. I think the most valued addition to this game must haveHaving owned the Wii U for nearly two years I feel it's safe to say that Super Mario 3D World is my absolute favorite game on the system. Whether its the colorful visuals, the finger snapping soundtrack, or the fun but simple gameplay provided by the Wii U gamepad, there is little but fun Super Mario 3D World can bring on the Wii U. I think the most valued addition to this game must have been the stellar multiplayer comprising of up to four players each controlling their own character. Having played through the various Mario Galaxy games, I found their multiplayer functionalities quite lacking and it was fantastic to finally have a 3D Mario game that the whole family can enjoy. However, it is important to note that the game is rather easy at times. In some instances, I would find myself completing scores of levels without taking hit. Rest assured, it was miraculous that such a game could still hold such an appeal without resorting to unfairly difficult game mechanics just to string the player along."
The Legend of Zelda: Breath of the Wild,WiiU,9,"People trying to tell you that the Wii U release is a somehow gimped and/or inferior version are flat-out wrong. It is possible to avoid some of the framerate drops in the Switch version by playing it in handheld mode, but they're otherwise identical.Some framerate issues, repeated unskippable cutscenes, overactive weapon degradation, and extremely segmented puzzle elements are thePeople trying to tell you that the Wii U release is a somehow gimped and/or inferior version are flat-out wrong. It is possible to avoid some of the framerate drops in the Switch version by playing it in handheld mode, but they're otherwise identical.Some framerate issues, repeated unskippable cutscenes, overactive weapon degradation, and extremely segmented puzzle elements are the biggest marring points on what is otherwise probably my favourite Zelda game to date. The worst thing that can probably be said about it is that it ""isn't Zelda""; which isn't completely inaccurate in terms of the structure and progression of the game. Conventional dungeons have been replaced with a series of 120 shrines, best described as puzzle rooms, which are how you upgrade your health and stamina now. Other than that, the world is yours to explore and discover at your leisure, including running dick-first into the endgame at any point that you might feel particularly masochistic. Some people evidently are not a fan of this, but personally I think it is a LONG overdue revitalization of the series, and overall a flawed masterpiece."
Splatoon,WiiU,8,"Splatoon is the Wii-U's main shooter and rather then focus on the killing of other players It focuses on the painting of the map, Giving you points for painting as much as the map as possible.You play as an ""Inkling"" that is a human/squid person witch gives you the ability to swim through your teams Ink, You can use this method to get up walls/sneak around. Splatoon also has a fairly deepSplatoon is the Wii-U's main shooter and rather then focus on the killing of other players It focuses on the painting of the map, Giving you points for painting as much as the map as possible.You play as an ""Inkling"" that is a human/squid person witch gives you the ability to swim through your teams Ink, You can use this method to get up walls/sneak around. Splatoon also has a fairly deep single-player campaign that is worth playing and a split screen Co-op mode. This is a nice change of pace when it comes to recent shooters and is enjoyable. Splatoon may look childish with it's colours and non violent game-play but you will be surprised how complex it feels. Winning/Playing earns you XP and Currency witch is used to level up/unlock new items then customize your character to your play style, Splatoon has a huge section for weapons from small auto rifles,big paint rollers,sniper rifles and much more. Weapons aren't the only things you can buy and upgrade, Hats, Shirts etc all available as well and consistently changing. Almost everything in Splatoon rotates on a 4 hour clock, New Maps, New Cloths etc all are available every 4 hours.This helps to keep the game fresh and new. The world Splatoon takes place in is amazing, It has little details everywhere you notice and makes you feel like your playing in a real world not just a city made to disguise lobby/loading screens. Music in Splaton is great as well, most times I find myself playing my own music but not with this game. Splatoon is a great shooter for anyone with a Wii-U regardless of age and I highly recommend you try it."
Shovel Knight,WiiU,10,"Abstract:This game is good and you should buy it.Actual Review:I feel like there may be some criticism of this game on the basis that the second play through does not offer much. However, I am still going to give this game a 10 for the 5 to 8 hours that it does provide. I felt thoroughly immersed in Shovel Knight's quirky world and I really felt like I was on an adventure; this isAbstract:This game is good and you should buy it.Actual Review:I feel like there may be some criticism of this game on the basis that the second play through does not offer much. However, I am still going to give this game a 10 for the 5 to 8 hours that it does provide. I felt thoroughly immersed in Shovel Knight's quirky world and I really felt like I was on an adventure; this is a sensation I may have never before felt in a 2D platformer with the possible rose-tinted nostalgic exception of Super Mario World 2: Yoshi's Island.It is the little touches that does it: the themed level designs, the weird villagers, the goofy dialog before boss fights, certain playful enemy designs, and the little camping scenes after levels that give you a concept of the passing of time. It all serves to draw you into the world and gives the game a distinct tone and ethos.All that aside, the fundamental gameplay is rock-solid if perhaps a little on the easy side for a veteran. The new game plus ratchets up the difficulty a little bit, but I still could beat any section of a stage within 3 tries in general or 6 tries in the one or two most extreme cases (the boss rush and another section of the last few stages). I was still enjoying myself though, so I hesitate to even call this a drawback exactly.I just wish there were more game. I look forward to the Order of No Quarter play-throughs as Plague Knight, King Knight, and  Specter Knight. I feel like that more or less addresses any problems I have with replay value. And frankly, I feel like the most negative reviews I have seen for this game, neglect considering the prospect of additional content when admonishing the game for lack of replay-ability (though I do recognize that it is their job to review the product at hand). Perhaps I am being overly optimistic, but it is hard not to be optimistic about those expansions having seen the quality of the content already present.So yeah: This game is awesome and I am excited for more shovel knight in the  coming months.If you like 2D platformers then this game is a must buy in my book."
Mario Kart 8,WiiU,8,"A solid game offering a fantastic graphics and controls. It's only shortcoming come from the butchered battle mode and last lustre multiplayer features and awkward roster additions/changes. As while the multiplayer in it has evolved and lost the majority of it's networking issues what happened to the community system from mk7? It worked great and they had every opportunity to work on thatA solid game offering a fantastic graphics and controls. It's only shortcoming come from the butchered battle mode and last lustre multiplayer features and awkward roster additions/changes. As while the multiplayer in it has evolved and lost the majority of it's networking issues what happened to the community system from mk7? It worked great and they had every opportunity to work on that but instead we're left with a tournament feature which while it does work for setting up game tournaments it doesn't for managing your community of players for game nights on the clock. I did also have a few nit picks with the item system this time around as while I'm glad they nerfed blue shells into the ground item pickups across different race placings is broken (5th place gets a bullet bill, 8th get's a single banana) focusing more on defensive drops rather than mario kart's previous offense with the majority of drops being shells. My last issue is that they removed a lot of the fan classic characters and tracks. We only get one snes track (donut plains 3) which is terrible when considering the other snes tracks and the retro and new tracks as a whole don't have many standouts. But you probably know all the pros with the game, like amazing graphics tight control etc. If you own a wii u this is a must buy. And if you don't I strongly recommend keeping your eye on the wii u now for more great releases now that mk8's been released."
Splatoon,WiiU,10,"At first I was skeptical about this game, but first demo test fire event convinced me how good this game is.  I've completed all the missions and have all the weapons and gear, but that doesn't diminish my enjoyment. Bought it on 1st day and I'm still playing it. That's how good this game is."
Affordable Space Adventures,WiiU,6,"Tier 3+ Very interesting mechanics that shine as an awesome couch co-op experience+ Beautiful world to explore that interacts well with the gameplay? One of the co-op roles feels kind of lame and doesn't offer as much to do- Has an incredibly steep difficulty curve towards the end of the game, with challenges that are very oblique and hard to figure out"
Super Smash Bros. for Wii U,WiiU,10,"I have been suffering from depression for a long time, until my friend recently showed me this game. I've been addicted to it on the 3DS, and now I am even more addicted to this on the Wii U. This is quite possibly one of the greatest games that I have ever played in my life. My depression has been cured because I just realized that I am blessed to be born in this era to experience thisI have been suffering from depression for a long time, until my friend recently showed me this game. I've been addicted to it on the 3DS, and now I am even more addicted to this on the Wii U. This is quite possibly one of the greatest games that I have ever played in my life. My depression has been cured because I just realized that I am blessed to be born in this era to experience this game. Thank you Nintendo, and above all, thank you God."
Splatoon,WiiU,10,"I'm not big into online multiplayer games, but I've sunk many hours into Splatoon since it was released last week. It's a lot of fun. Just don't expect local multiplayer because it doesn't really have that (yes, there's a 1 vs. 1 mode, but it's not very much fun)."
Bayonetta 2,WiiU,10,"This game is perfect. Building upon what the first game offered, the sequel offers a great experience from beginning to end. The combat is great, with all weapons being useful in any situation but excelling in certain battles. The graphics look great with the scenery offering some beautiful views. The games plot is a lot more comprehendable compared to the first game, but the main draw-inThis game is perfect. Building upon what the first game offered, the sequel offers a great experience from beginning to end. The combat is great, with all weapons being useful in any situation but excelling in certain battles. The graphics look great with the scenery offering some beautiful views. The games plot is a lot more comprehendable compared to the first game, but the main draw-in is the battles. All of them are over the top and offer a decent challenge. This is a perfect game that, despite being aimed at older audiences, is an absolute great exclusive for nintendo is definitely a must own for all Wii-U owners."
Bayonetta 2,WiiU,10,"This is the best game I´ve ever played and you also have to try it out. It´s worth to buy a Wii U just for this awesome game!!! It´s so much fun to play and the combat system has infinite combos, you can find out or  practise in training mode."
Splatoon,WiiU,9,"It is the next BIG franchise game from Nintendo, I really love it, but I would love more the game if it has more single mode stages and more to do as a single player. The lack of voice is horrible."
Donkey Kong Country: Tropical Freeze,WiiU,10,"Since I'm a huge fan of DKC series, I thought I knew what I want. What I would like was: Kremling, Animal buddies... yeah I still miss them but Tropical Freeze is a game that proved me that I really don't know what I want. The game surprised me in such a great way, I almost didn't miss Kremling's and animal buddy.Each level is  unique, each level has so much details that we are notSince I'm a huge fan of DKC series, I thought I knew what I want. What I would like was: Kremling, Animal buddies... yeah I still miss them but Tropical Freeze is a game that proved me that I really don't know what I want. The game surprised me in such a great way, I almost didn't miss Kremling's and animal buddy.Each level is  unique, each level has so much details that we are not used to see in games. The challenge is fair. The levels you will find in this game could inspire any game designer.  If you have a Wii U, you should be playing this games instead of reading here my comments.This game is a serious candidate for the Game of the year, in my opinion."
New Super Mario Bros. U,WiiU,8,"A solid game, but nothing you haven't seen or done before in this series. Super Mario Maker really went on to prove how simple it was for Nintendo when making these titles."
Super Mario Maker,WiiU,10,"hermosa sorpresa, tiene una jugabilidad infinita y vasta, no como los juegos que salen comúnmente en las otras consolas, puedes compartir mapas, puedes jugar mapas diversos en linea, genial, con el sello de garantía de Nintendo."
The Legend of Zelda: The Wind Waker HD,WiiU,10,"Everything I disliked in this game has been replaced and now it's only a Masterpiece. After playing Skyward Sword, i can finally push a button to hit an enemy with my sword and I enjoy it!"
The Legend of Zelda: The Wind Waker HD,WiiU,9,"Still holds up better than 90% of everything released today.  The HD and the little refinements are just the gravy on top.  Could have used an inverted camera for 3rd person and shifting wind directions can be annoying at times, but that is all I can really hammer it for.  Now gimme a brand new Zelda, Nintendo."
Rayman Legends,WiiU,10,"Best Wii U game ever, best platform game ever, best multiplayer ever, best art ever, best characters ever, best soundtrack ever ... Ubisoft did really well making revolutionary platform game who make playing with friends really funny."
Pikmin 3,WiiU,10,"This is a great strategy. Now rare to find a game that is not afraid to be demanding for the player and make him a challenge. Uparvlenie the game is marvelous, especially with the Wiimote."
Mario Kart 8,WiiU,9,"After the horrible balanced Mario Kart Wii and the for me pretty boring Mario Kart 7 it was a surprise how well Mario Kart 8 turned out... only Double Dash!! is still a bit better, and sure we are missing the battle mode a bit... but I only really enjoyed this in Double Dash!! so without two people in one Kart and a huge load of Items I don't really miss it."
Deus Ex: Human Revolution - Director's Cut,WiiU,8,"Deus Ex is a great game which unfortunately is now showing its age released on the WiiU. I was surprised to find that the graphics are inferior to the xbox360 version, which I spent a lot of time playing. The gamepad is used to good effect and genuinely addes to the experience. For me the best aspect of the WiiU version (and the best part of the WiiU in general) is the fact that it offersDeus Ex is a great game which unfortunately is now showing its age released on the WiiU. I was surprised to find that the graphics are inferior to the xbox360 version, which I spent a lot of time playing. The gamepad is used to good effect and genuinely addes to the experience. For me the best aspect of the WiiU version (and the best part of the WiiU in general) is the fact that it offers off-tv play."
Mario Kart 8,WiiU,1,The levels are simply gorgeous. The cart variety keeps the game fresh. The small yet critical changes made to the game affect how you play compared to previous titles. This game is for the hard core player while also being a living room favorite. My only hope is that battle gets updated because right now it is lack luster at best.
