Title,Platform,Userscore,Comment
Team Fortress 2,PC,9,This is probably one of the best shooters i have ever played.While there are some flaws here and there it still remains one of the best shooters of today.Also there is hats!
Firewatch,PC,6,"There is a lot to like about Firewatch, the atmosphere, the environments, the 2 main characters. The way the game is established is quite unique and whilst I don't think the choices made in that opening make any difference whatsoever, it is quite an interesting opening none the less, establishing the protagonist and his sad past. Unfortunately with a game like this the story is key, thereThere is a lot to like about Firewatch, the atmosphere, the environments, the 2 main characters. The way the game is established is quite unique and whilst I don't think the choices made in that opening make any difference whatsoever, it is quite an interesting opening none the less, establishing the protagonist and his sad past. Unfortunately with a game like this the story is key, there is no real skill in the gameplay and whilst the environments are a joy to explore without something driving you through it's all for nothing. That said the story does a good job of driving you through the game, it's offers mystery and suspense, however the ending (explanation of the events) is utterly mundane and delivered in a very direct manner which counter acts the prior more subtle delivery methods on display in the rest of the game. Firewatch is part of an ever growing selection of exploration story games, and it adds some great things to the mix, but ultimately all of these games live and die on the story and unfortunately this one just doesn't round off well at all. In short you'll have fun playing it, but probably won't remember it with much fondness."
Saints Row: The Third,PC,10,"This game is, basically, my childhood. I was 13 when it came out, and i played it like 3 times, by now. I just can't see any flaws here. This game is perfect, from the humor, to the story, to the action. 11/10, hahaha!"
Cuphead,PC,10,"Is a 360 ° masterpiece destined to become a classic and a milestone of the genre. Sublime artistic style, music and gameplay, offered at a great price that could be a bit higher for the overall quality of the work."
World of Warcraft: Mists of Pandaria,PC,3,"First of all, the attack on negative reviewers by the majority of positive reviewers exposes the fact that it is a select minority, perhaps even company employees, creating multiple accounts to boost the games positive rating. The whole thing reeks of self-promotion. Secondly, the expansion has dumbed the game down to ridiculous proportions. Will this appeal to everyone? No, of course not.First of all, the attack on negative reviewers by the majority of positive reviewers exposes the fact that it is a select minority, perhaps even company employees, creating multiple accounts to boost the games positive rating. The whole thing reeks of self-promotion. Secondly, the expansion has dumbed the game down to ridiculous proportions. Will this appeal to everyone? No, of course not. However, those that enjoy the game? I do honestly hope you have a great time. The expansion to me feels tired, flat and the blatant rehash of game mechanics into simpler versions does little to help the enjoyment factor. While this next point is entirely down to social perspective, playing WoW now feels embarrassing due to the multitude of fuzzy pandas played by 10 year olds running around karate kicking things. As an adult, I can't take the game seriously anymore. I just can't. The pollution of the community is also offputting. Give children anonymitity and a feeling of invincibility behind a computer screen and, well, comment sections on Youtube are all the evidence needed.Blizzard have taken the commercial route for more money over game quality and please, trying to deny this is like trying to say fish don't swim. In the interest of being fair, the Monk class is fun. On the whole however, MoP won't win back any loyal fans and certainly doesn't put Blizzard in a great light. I'd like to say at this point, I really don't like Guild Wars 2 either. The bottom line? WoW is dying a very slow death and the injection of botox that is MoP doesn't do anything to make its ultimate demise any more graceful. Just the same old tired formula. This kind of arrogance and disregard for quality simply shouldn't be encouraged."
Torchlight,PC,10,"This game does the hack n' slash genre to perfection.It is like a super-updated Diablo II, a thing the game creators don't deny, considering they also worked on DII.This is such a bargain at $15 now, that it makes me cry i wasted $60 on trash like Dragon Age II.Everyone should know about this game!!"
Unreal Tournament III,PC,10,"Its the best game I've ever played in my lifetime. 1000s of hours gameplay, and it never get boring. Its incredible much better than UT2004, UT2003 and UT99. Very nice graphic, hundrets of hidden tricks and specials, idiotic dodge-jump removed, warfare game mode introduced with orb. Seriously: Its the best game you can get for your bucks."
The Witcher 2: Assassins of Kings,PC,5,"""IAM"" --- Interactive Movie --- This needs to be a new genre, because Witcher 2 is not an RPG. One of the player reviews here says the game went the same way as Dragon Age 2 and Mass Effect.. and they're right. It's not really that fun to play, but looks gorgeous. The characters are impressive but the story has glaring holes and wouldn't get a passing grade in creative writing 101. I had""IAM"" --- Interactive Movie --- This needs to be a new genre, because Witcher 2 is not an RPG. One of the player reviews here says the game went the same way as Dragon Age 2 and Mass Effect.. and they're right. It's not really that fun to play, but looks gorgeous. The characters are impressive but the story has glaring holes and wouldn't get a passing grade in creative writing 101. I had high hopes for CDProjekt because they're oldschool gamers and run the great GOG.com website, but they've sold out. I can't blame them.. maybe I would do the same.. who doesn't like getting paid for what they do? It's just a damn shame that the victim of that crime is creative, challenging, deep RPGs. The consoles won - PC RPGs are dead."
Fallout: New Vegas,PC,7,"Fallout new Vegas works for some people more than it does for others. Less so for me. The mojave technically has as many things in it as the Capital wasteland, but they seem less interesting. Quests although there are more of them, can be pointlessly short, unlike in Fallout 3. Equally, people will point to its four different endings as giving the player great freedom, but actually theyFallout new Vegas works for some people more than it does for others. Less so for me. The mojave technically has as many things in it as the Capital wasteland, but they seem less interesting. Quests although there are more of them, can be pointlessly short, unlike in Fallout 3. Equally, people will point to its four different endings as giving the player great freedom, but actually they all boil down to much the same thing, especially as you don't get to carry on the game after you finish the main quest and there isn't yet DLC to change this. The urban environment of Fallout 3 also works better, seems to communicate better the post-apocalyptic vision. Having said that, there are good additions to new vegas such as the faction system, better voice acting, etc. It is still a very good game, with a good story, good character, graphics, etc. Most criticisms that can be made of it, asides from the ridiculous number of bugs, only tell us that fallout new vegas is not quite as great as Fallout 3."
Half-Life,PC,10," It's quite possibly the best FPS ever. Yes, the graphics are aging, yes the crate puzzles were a bit on the annoying side, but they are minor flaws on a beautiful game. The AI still amazes me now, as the soldiers hide, throw grenades and constantly cause a thread, and then there's the set pieces. I always get excited when I see the G-Man. The story is excellent, people who It's quite possibly the best FPS ever. Yes, the graphics are aging, yes the crate puzzles were a bit on the annoying side, but they are minor flaws on a beautiful game. The AI still amazes me now, as the soldiers hide, throw grenades and constantly cause a thread, and then there's the set pieces. I always get excited when I see the G-Man. The story is excellent, people who complain about it clearly can't be bothered to chase after it. Like so much about this terrific game, you have to work at it. You need to discover every clue, talk to every scientist, that's the way to play the game. And what a game it is..."
Minecraft,PC,9,"With the variety of play modes, Minecraft makes itself attractive to more than just one type of gamer. Not only can one choose between ""Classic"" or ""Adventure mode, but when playing the latter, one can choose to focus on being either a miner, explorer or adventure seeker (or why not just a little of each).With the new update (leaving beta), a whole new world of possibilities has opened upWith the variety of play modes, Minecraft makes itself attractive to more than just one type of gamer. Not only can one choose between ""Classic"" or ""Adventure mode, but when playing the latter, one can choose to focus on being either a miner, explorer or adventure seeker (or why not just a little of each).With the new update (leaving beta), a whole new world of possibilities has opened up letting the player even choose to completing the game by going after the end boss.The only thing I'd want to see in Minecraft is more use of experience and level points, and also a bigger variety to what one can craft. Like why can't I make pizza?! ;-) And i'm looking forward to more game modes like CTF or Adventure (where one doesn't build, but runs through a pre-made level)."
Minecraft,PC,6,"A very fun game at Beta when Notch was developing it. Went downhill fast after 1.0 (full release version). Put it this way, the game was worth it in BETA, not so much in it's current state. The Full Retail seems rushed and not complete.BETA - The Beta was fun, building large complex structures is great, especially in Multiplayer. Singleplayer gets old real fast, unless you're intoA very fun game at Beta when Notch was developing it. Went downhill fast after 1.0 (full release version). Put it this way, the game was worth it in BETA, not so much in it's current state. The Full Retail seems rushed and not complete.BETA - The Beta was fun, building large complex structures is great, especially in Multiplayer. Singleplayer gets old real fast, unless you're into building stuff out of the world stuff like a 1 to 1 scale of Middle Earth and have no life.Full Retail - Like I mentioned, feels very rushed and incomplete. While the Beta was fun and full of anticipation, the Full Retail adds little while adding what seems to be 'a lot' on the surface. In other words, inconsistent.Here's hoping that Notch will continue supporting the game, because the Retail version isn't the minecraft I enjoyed in Beta."
Hearthstone: Heroes of Warcraft,PC,10,"For starters do not listen to the people who say that this game is pay to win. Players have reached the top of the rankings in the game without paying a penny and indeed some have reached very high just using the basic decks given to the player at the start of the game. This game can feel unfair sometimes and i believe that is what these players are feeling. However this is due to theFor starters do not listen to the people who say that this game is pay to win. Players have reached the top of the rankings in the game without paying a penny and indeed some have reached very high just using the basic decks given to the player at the start of the game. This game can feel unfair sometimes and i believe that is what these players are feeling. However this is due to the random nature of some of the cards and the very real aspect of luck involved in drafting the right cards for the right situation. Although this leads to some seemingly unfair games it does tend to balance itself out the more games you play. Anyway now the good and the bad. (Also please remember that this game is free and every card in the game can be earned without paying a penny!)Good:Brilliant and addictive card game. The sounds and animations are both extremely satisfying and the graphics are very reminiscent of WoW which gives it a nostalgic feel. As mentioned above the payment method is rather moot depending on how you wish to play the game. If you want to jump into the game and be able to play every deck then and there you will have to sink in some money to buy packs of cards. However this is not how the game is meant to be played and is much more suited to a slow progression doing quests and arena runs (its the journey people). Not to mention skilled players have reached the top of the rankings just days after starting a new free account.Bad:So far everything has been quite positive but like every game it is not perfect (which is not what a 10 indicates fyi). The game does still even after release suffer from some annoying card swapping and overlapping bugs, these can be a real pain and even cost you games. The game is also very lacking in playing modes. Only two currently exist at launch, constructed and arena. This problem is likely to be addressed in later expansion packs or DLC but for the moment the area is lacking.Certain cards in the game are just simply stronger versions of others and are almost a 100% pick every time in a deck, this can make match ups very repetitive as you are bound to see these certain cards in every game. Unfortunately most of these cards are legendary (which are very rare) which often leads people to believe the game is pay to win (even though these cards are fully achievable through free means)."
Age of Empires II: The Age of Kings,PC,10,"It's just so goood. I enjoy playing this much more than any other RTS game, because it has more heart and soul and charm. Do you need fancy graphics to enjoy chess? Maybe if the pieces were ultra realistic statues that could move like in that Harry Potter movie. The AOE2 gameplay is perfect, love this game."
BioShock Infinite,PC,9,"AMAZING! This game has it all good story, good M rated content, good characters, and good graphics. The only thing that keeps it from a 10 is the gun play. Its bad. But other than that its a amazing game"
Total War: Shogun 2,PC,7,reasonable good game play good graphics and the need of tactics and you can make your own avatar to use as general in multi player the only disappointment is the lack of different  troops between the playable clans. but this is a very good recovery after Napoleon TW
Darkest Dungeon,PC,10,"Without any shade of a doubt, one of the best games to ever come from crowd funding; Darkest Dungeon's developers did a really impressive job of making the game better both in early access and after launch. One of the best dungeon crawlers ever with new mechanics and a different take on what this genre is. Every game that looks any similar to Darkest Dungeon will and MUST be compared toWithout any shade of a doubt, one of the best games to ever come from crowd funding; Darkest Dungeon's developers did a really impressive job of making the game better both in early access and after launch. One of the best dungeon crawlers ever with new mechanics and a different take on what this genre is. Every game that looks any similar to Darkest Dungeon will and MUST be compared to Darkest Dungeon. A must have."
Grand Theft Auto: San Andreas,PC,10," I like the fact that you can fly planes, helecopters and drive cars. Not a lot of games can do that. Also it includes nice guns and sometimes cutsences. So i'll give Grand Theft Auto: San Andreas a 10"
The Elder Scrolls V: Skyrim,PC,10,Like RPG games buy this game its one of the greatest RPG games ever made. Hundreds of hours of content GOTY 2011 still holds up today bethesda is one of the best developers in the industry .
Rift,PC,9,"I'm not sure MMO's can really get any better than this.  The game is really well refined, constantly updated and new content comes out every couple of months rather than semi-yearly.  With Rift 1.9 done and new Xpac coming next Trion has done a great job of cleaning up some of the previously mentioned rough edges.  Like other MMOs, nothing is perfect, but I find Rift to be an amazingI'm not sure MMO's can really get any better than this.  The game is really well refined, constantly updated and new content comes out every couple of months rather than semi-yearly.  With Rift 1.9 done and new Xpac coming next Trion has done a great job of cleaning up some of the previously mentioned rough edges.  Like other MMOs, nothing is perfect, but I find Rift to be an amazing breath of fresh ear with a community that reminds me of WoW during the TBC days.  The new Instant Adventures for all levels and Mentor system is just icing on the cake if questing isn't your cup of tea!"
XCOM: Enemy Unknown,PC,3,"Its a good thing that a got this game for free when I pre ordered Bioshock Infinite through steam cause if I had spent any amount of money on this crap I would have felt extremely cheated. Now this is the first Xcom game I've played and its probably gonna be the last unless 2k Marin come up with something brilliant with their tactical fps interpretation of the franchise. Im a huge fan ofIts a good thing that a got this game for free when I pre ordered Bioshock Infinite through steam cause if I had spent any amount of money on this crap I would have felt extremely cheated. Now this is the first Xcom game I've played and its probably gonna be the last unless 2k Marin come up with something brilliant with their tactical fps interpretation of the franchise. Im a huge fan of Firaxis Games and their Civilization IP but they seriously dropped the ball, lost the plot, went off their heads bonkers and screwed up when they decided to unleash and curse us with this poor excuse of a game.."
The Witcher 2: Assassins of Kings,PC,10,"The Witcher 2 manages to improve every aspect of the first game, and more. Gorgeous graphics (rivals even that of Crysis), well-written story, living & breathing game world, better character customization, more choices to make, and now with a new dynamic combat system. While playing this game, it will become very evident that the difficulty level is much harder than in most RPGs of today.The Witcher 2 manages to improve every aspect of the first game, and more. Gorgeous graphics (rivals even that of Crysis), well-written story, living & breathing game world, better character customization, more choices to make, and now with a new dynamic combat system. While playing this game, it will become very evident that the difficulty level is much harder than in most RPGs of today. I have longed for challenge for a long time in RPGs, so this is a very positive thing. The Witcher 2 feels very old school in its mechanics and difficulty, and brings the best out of it. Game world in The Witcher 2 is full of small details, showing the obvious dedication to this game from the developers' part.  On top of it all, apart from perhaps the inventory UI, The Witcher 2 is very PC-friendly in all aspects. I do not hesitate to give it a 10. It's REALLY good for what it is."
Dragon Age: Inquisition,PC,3,"Very disappointing. World is definitely beautiful but the rest lacks. I love the original - the story just sucked you in and you WANTED to progress in the game to see what happens next. I really wanted to like this game and get into the story... it just kept pushing me back. Very boring, it does feel lime a single player mmorpg, characters are not interesting... Also the game felt reallyVery disappointing. World is definitely beautiful but the rest lacks. I love the original - the story just sucked you in and you WANTED to progress in the game to see what happens next. I really wanted to like this game and get into the story... it just kept pushing me back. Very boring, it does feel lime a single player mmorpg, characters are not interesting... Also the game felt really made for consoles - the great mouse control form the first game is gone. This tactical view is cheesy and again feels like I am playing on a console. I just had no interest to log back in... and this is after about 8 hours of gameplay. Not going back."
Dota 2,PC,6,"Okay, If you like DOTA 2, that's fine...If you like MOBA games, that's fine. If you like FREE MOBA games with a lot of characters with many different play styles, That is absolutely fine. But the second you try to defend the multiplayers community, then we need to start having a serious chat!! Now I do own a copy of DOTA 2 and I do enjoy bot matches as 'Venomancer' and I do OK on harderOkay, If you like DOTA 2, that's fine...If you like MOBA games, that's fine. If you like FREE MOBA games with a lot of characters with many different play styles, That is absolutely fine. But the second you try to defend the multiplayers community, then we need to start having a serious chat!! Now I do own a copy of DOTA 2 and I do enjoy bot matches as 'Venomancer' and I do OK on harder difficulties. I decided to go over to multiplayer one time and I ended up 0-2. The hate I got that game was horrific. I thought this was just a one off so I tried another match, I ended up not killing or getting killed for a while, and the comments started coming again, and again, and again, and again...  This game to put it easily is a 2-sided coin. On one hand the game can be enjoyable if you find a character you can use effectively, however the community is honestly the worst gaming community I ever had the utter misfortune of playing with or being part of, if your not perfect instantly you will be hated. I'd say since the game is free, it's worth the price for the offline mode but that's it"
Overwatch,PC,6,I have being playing overwatch for over 8 months and i'm still not tierd of it.
Portal,PC,3,"For me, the best part of this game came at the very end.  There was a lot of fun dialogue and interesting little moments in my Portal experience, but in general, I think that this game is highly overrated.  I found that a lot of the puzzles themselves were more frustrating than interesting; easy to solve, with most of the difficulty coming from physically moving things around.  I'll alsoFor me, the best part of this game came at the very end.  There was a lot of fun dialogue and interesting little moments in my Portal experience, but in general, I think that this game is highly overrated.  I found that a lot of the puzzles themselves were more frustrating than interesting; easy to solve, with most of the difficulty coming from physically moving things around.  I'll also add that Portal is a very short game; it didn't take very long at all to complete, although I suppose that I didn't really mind that aspect of it."
The Witcher 2: Assassins of Kings,PC,6,"I was trying to find a game like Dragon Age, and this was recommended to me. I have only put in about ten hours, but I do not intend to put in anymore. While the combat in this game is by far the best I have ever seen in an action RPG, there are so many other issues with this game that frustrated me to no end. First off, the map is just ridiculous. It is annoying to use, and gives veryI was trying to find a game like Dragon Age, and this was recommended to me. I have only put in about ten hours, but I do not intend to put in anymore. While the combat in this game is by far the best I have ever seen in an action RPG, there are so many other issues with this game that frustrated me to no end. First off, the map is just ridiculous. It is annoying to use, and gives very little information. Tracking multiple quests at a time is also needlessly difficult. As someone who really enjoys doing side quests and trying to do everything a game has to offer, at some points in the game I felt so frustrated with the quest tracking and quest system that I just gave up on them entirely and only followed the main story. The stealth in the game is also just terrible. It looks and feels like it was scrapped together as a last minute idea, and I think the game would be better off without it just because of how dull and uninspired it is. While this game has a lot of great things, these few issues have frustrated me to the point where I just don't want to continue playing."
Need for Speed: Shift,PC,8," Due to the fact that this game actually works on my computer, I can rate it properly. I'm lucky. I have: Phenom II X3 720 HIS 4870 1GB PC USB Xbox Controller Works fine, except for slow load times which I'll get back to. I've played a lot of Forza 2, so I come from a background of half-sims, and I personally love this game. The rewards system is not perfect but being Due to the fact that this game actually works on my computer, I can rate it properly. I'm lucky. I have: Phenom II X3 720 HIS 4870 1GB PC USB Xbox Controller Works fine, except for slow load times which I'll get back to. I've played a lot of Forza 2, so I come from a background of half-sims, and I personally love this game. The rewards system is not perfect but being rewarded for smashing into other cars is quite fun (very unrealistic but if I really wanted to race a car I'd race a car, not play a game.) The cars are excellent, they all mostly oversteer but that's fine I find it challenging, and best of all all of the tracks are extremely bumpy which is something I haven't experienced in a game before. However, the load times are immense, and for this reason I do not play it. As a game, it is very good and very fun. As a technical feat, it is a horrific failure. Only buy it if you have a solid state drive and you feel lucky. Game reviewed is version 1.1 (first patch). Score (game itself): 8 Score (game including optimisation for PC)."
The Witcher 3: Wild Hunt,PC,10,"Look, people, I have always been a Nintendo guy, as Nintendo games have always been my favorite ones, mostly the Zelda series. I think I have played The Witcher 3 a lot more than my favorite Zelda games, and that is saying a lot. This game delivers a unique sense of immersion in a videogame, a quality I hold among the most important features in a videogame. The quests are well crafted, theLook, people, I have always been a Nintendo guy, as Nintendo games have always been my favorite ones, mostly the Zelda series. I think I have played The Witcher 3 a lot more than my favorite Zelda games, and that is saying a lot. This game delivers a unique sense of immersion in a videogame, a quality I hold among the most important features in a videogame. The quests are well crafted, the characters and dialogues are amazing, the combat system is clever and very flexible... I don't think there will ever be an experience quite as fulfilling as The Witcher 3. This game is just THAT good. This is a benchmark for what a videogame needs to be in its essence."
Portal 2,PC,10,"There are only 2 perfect games out of the 157 that I have played. Portal 2 is one of them. This game is absolutely legendary. It is flawless. It is a classic of our time. It is the best puzzle game ever made. It is the best story/adventure game ever made. It comes from the best games company there has ever been. Even the lore behind the game is fascinating. My favorite game? No, butThere are only 2 perfect games out of the 157 that I have played. Portal 2 is one of them. This game is absolutely legendary. It is flawless. It is a classic of our time. It is the best puzzle game ever made. It is the best story/adventure game ever made. It comes from the best games company there has ever been. Even the lore behind the game is fascinating. My favorite game? No, but almost. This game is simply perfect."
Mass Effect 3,PC,3,"Cover system isn't nearly as bad as ME1 but worse then ME2. Jennifer Hale voice acting is brilliant. Visually ME2 beats ME3. My imported Shepard looked like almost completely different person. In the end all those choices you made over 120 hours of gameplay (3 games) don't really matter. It all boils down to the decision you make in last 15 minutes of the game and no matter what you do, itCover system isn't nearly as bad as ME1 but worse then ME2. Jennifer Hale voice acting is brilliant. Visually ME2 beats ME3. My imported Shepard looked like almost completely different person. In the end all those choices you made over 120 hours of gameplay (3 games) don't really matter. It all boils down to the decision you make in last 15 minutes of the game and no matter what you do, it leaves a lot of unanswered questions about what happens to Shepard friends and brothers-in-arms. Bleh."
The Walking Dead: A Telltale Games Series,PC,9,"It's a compelling, emotionally charged, and very well-written story, but much more a visual novel with limited interaction than a game.  Telltale does an amazing job of making you consider your choices, but their games don't follow through much in terms of the consequences, and you can't get off the rails they've set for you.Regardless, if you're looking for an engrossing story, thisIt's a compelling, emotionally charged, and very well-written story, but much more a visual novel with limited interaction than a game.  Telltale does an amazing job of making you consider your choices, but their games don't follow through much in terms of the consequences, and you can't get off the rails they've set for you.Regardless, if you're looking for an engrossing story, this is a winner."
Half-Life 2: Episode Two,PC,9," It's a little bit on the ""more of the same"" side but very much worth it."
Silent Hunter III,PC,7," The game is really good...i really enjoy submarine type games. The only down side to the game is the waiting times between action, even with time compression the game is very slow. The keyboard layout is good, and sound effects are okay...you do need 1 gig of ram to run the game, as I am running 512 megs or ram and it takes a long time for the game to load, and locks up occasionally when The game is really good...i really enjoy submarine type games. The only down side to the game is the waiting times between action, even with time compression the game is very slow. The keyboard layout is good, and sound effects are okay...you do need 1 gig of ram to run the game, as I am running 512 megs or ram and it takes a long time for the game to load, and locks up occasionally when you are in game and an event is occuring i.e. detecting a ship that sort a thing...but once the game is loaded it works fine with 512! "
DEFCON: Everybody Dies,PC,10," I've been waiting for this game to come out, since the movie! Thanks."
Guild Wars 2: Heart of Thorns,PC,1,"as someone who mainly runned dungeons and fractals, the changes they made killed what i do in this game. and i bought the 100$ edition to support them, now i regret wasting my money."
The Witcher 2: Assassins of Kings,PC,10,"This game is **** AMAZING.I can't be bothered to type out a testament to the brilliance that is The Witcher 2, but after 3 playthroughs, I'm really disappointed that other games (that aren't as good as TW2) get a higher Metascore than TW2 (Deus Ex: HR, not that it's a bad game or anything, just nowhere near as good as TW2).One of the greatest cRPG's to ever come of existence."
The Elder Scrolls V: Skyrim,PC,7,"For an Oblivion's successor I would wish:- Fighting art included, where proper striking/blocking combination is as important as character stats.- Sorcerer's battles with massive lightning effects, spanning over whole screen, casting complicated spells with some key combination found in an ancient book hidden in the last corner of an abandoned elf mine.Freedom of dressing whereFor an Oblivion's successor I would wish:- Fighting art included, where proper striking/blocking combination is as important as character stats.- Sorcerer's battles with massive lightning effects, spanning over whole screen, casting complicated spells with some key combination found in an ancient book hidden in the last corner of an abandoned elf mine.Freedom of dressing where player's own ideas in plate armour combinations or different armour layers can contribute to his advantage over opponents.Characters react to situations and are not all scripted. Not much is needed, but when right after dragon attack an old lady casually asks, if I fancy a chatter, is the mood ruined.Unfortunately it stayed where Oblivion ended. At least we got:Real sized dragons (yes they did it!!)Wonderful graphic ovehaul"
World of Warcraft: The Burning Crusade,PC,0, A boring game which makes people addicted! Don't start playing cause you can't stop again. And the graphics is nothing compared to many other games.
Dishonored,PC,7,"Graphics : - 1Plot : - 1Music : - 0.5  (They didnt really put that much effort into music)Game play : - 1.5 (Stealth with FPS is just lame, it should've had RPG option too / The game was not that challenging though / I didnt have the chanceto try all the powers of the character !!! )Experience : + 1 (It was fun for me after all with the plague/rats theme, early 90's is aGraphics : - 1Plot : - 1Music : - 0.5  (They didnt really put that much effort into music)Game play : - 1.5 (Stealth with FPS is just lame, it should've had RPG option too / The game was not that challenging though / I didnt have the chanceto try all the powers of the character !!! )Experience : + 1 (It was fun for me after all with the plague/rats theme, early 90's is a good era to be video gamed)"" Revenge doesnt solve everything BTW """
